f1_costo,f2_desbalance
73127.0610,2077.0000
75001.8350,1932.0000
75759.0090,1856.0000
82341.6730,1846.0000
82911.6490,1843.0000
93692.8460,633.0000
95208.5910,194.0000
95525.7100,140.0000
96558.0930,123.0000
100200.0720,105.0000
100638.7300,104.0000
103918.8860,73.0000
104808.7750,38.0000
105067.2200,37.0000
105973.8730,27.0000
109640.9980,26.0000
111715.5430,18.0000
112119.2760,16.0000
114311.1690,7.0000
114675.7860,5.0000
117099.5810,4.0000
