f1_costo,f2_desbalance
73127.0610,2077.0000
74525.4580,1974.0000
74584.1320,1932.0000
75047.9360,1871.0000
75341.3060,1856.0000
77633.7830,1852.0000
80797.9880,1851.0000
80888.7930,1843.0000
