f1_costo,f2_desbalance
73127.0610,2077.0000
74729.4200,1984.0000
75341.3060,1856.0000
76706.1750,1850.0000
78990.2700,1843.0000
93727.7710,1071.0000
93878.6470,599.0000
95094.0370,371.0000
98233.0960,253.0000
98930.1990,164.0000
99585.3920,132.0000
99590.9800,115.0000
99683.1820,103.0000
101147.2380,102.0000
101724.1990,52.0000
102984.2930,51.0000
103734.4820,31.0000
109245.6470,22.0000
110048.9220,17.0000
116542.1780,4.0000
120428.6320,3.0000
